"example","label","method","b","se","df","b_imp_sd","within_se","between_sd","riv","fmi","M","lcl","ucl","signif"
"E1","Short sleep -> obesity","Fully-Aware-CF",0.0363,0.0079,90.0048,0.0011,0.0078,0.0011,0.0218,0.0424,40,0.0207,0.0519,TRUE
"E2","Food insecurity -> depression","Fully-Aware-CF",0.0867,0.0084,81.2585,0.0026,0.008,0.0026,0.1098,0.1204,40,0.07,0.1035,TRUE
"E3","E-cigarette use -> hypertension","Fully-Aware-CF",0.0332,0.0205,26.4164,0.005,0.0199,0.005,0.0642,0.1242,40,-0.0089,0.0752,FALSE
"E4","GDM history -> hypertension (hardened)","Fully-Aware-CF",0.0019,0.0247,88.8756,0.0044,0.0243,0.0044,0.0334,0.0534,40,-0.0471,0.051,FALSE
