"example","label","cell","dropped","arm","b_main","lcl_main","ucl_main","signif_main","b_sens","lcl_sens","ucl_sens","signif_sens","d_b","d_lcl","d_ucl","rel_d_b","conclusion_flip"
"E4","GDM history -> hypertension (hardened)","E4_noBMI","bmi","Fully-Aware-CF",0.0057,-0.0418,0.0532,FALSE,0.0307,-0.0199,0.0813,FALSE,0.025,0.0218,0.0281,4.3856,FALSE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","bmi","Fully-Aware",0.0205,-0.0323,0.0733,FALSE,0.049,-0.0057,0.1038,FALSE,0.0286,0.0266,0.0305,1.3958,FALSE
"E2","Food insecurity -> depression","E2_noBMI","bmi","Fully-Aware-CF",0.0887,0.073,0.1044,TRUE,0.0946,0.079,0.1101,TRUE,0.0059,0.0061,0.0057,0.0661,FALSE
"E2","Food insecurity -> depression","E2_noBMI","bmi","Fully-Aware",0.0978,0.0744,0.1212,TRUE,0.1009,0.0774,0.1245,TRUE,0.0031,0.0029,0.0033,0.0317,FALSE
"E1","Short sleep -> obesity","E1_noPHQ","phq","Fully-Aware-CF",0.0363,0.0213,0.0513,TRUE,0.0396,0.0244,0.0548,TRUE,0.0032,0.003,0.0034,0.0889,FALSE
"E1","Short sleep -> obesity","E1_noPHQ","phq","Fully-Aware",0.0359,0.0205,0.0514,TRUE,0.0398,0.0242,0.0554,TRUE,0.0039,0.0037,0.004,0.108,FALSE
