"method","estimand","est","lo","hi","psi1","psi0"
"Fully-Aware","RR",1.02590300985342,1.01876580991253,1.03309021110226,29.5955112696261,28.848254645295
"Fully-Aware-CF","RR",1.02605679717749,1.01891733435706,1.03324628557668,29.5980409692318,28.846396272264
