"scenario","rung","n_reps","eps_fa","g_fa_min","g_fa_max","eps_cf","g_cf_min","g_cf_max","cf_V_eff","deff","icc_eif"
"R1","L1_param",1000,0.011,0.1071,0.9107,0.0718,0.1029,0.9146,2,1.1829,0.0246
"R1","L2_smooth",1000,0.032,0.095,0.8645,0.0681,0.0925,0.8915,2,1.1838,0.0253
"R1","L3_adaptive",1000,0.0293,0.0933,0.8686,0.0706,0.1044,0.8902,2,1.2109,0.0208
"R1","L4_aggressive",1000,0.0501,0,1,0.0711,0.05,0.9414,2,1.258,0.0243
"standard","L1_param",1000,0.013,0.1185,0.8917,0.1027,0.1195,0.9082,5,1.2536,0.0334
"standard","L2_smooth",1000,0.045,0.1023,0.8602,0.0941,0.1027,0.8913,5,1.2518,0.0334
"standard","L3_adaptive",1000,0.0412,0.1002,0.862,0.097,0.1165,0.8899,5,1.3063,0.0297
"standard","L4_aggressive",1000,0.0622,0,1,0.0902,0.0501,0.9391,5,1.3645,0.0357
