"where","source","written","derived","ok"
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/SF-W coverage","0.398","0.398",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/SF-U coverage","0.394","0.394",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-W coverage","0.985","0.985",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-U coverage","0.987","0.987",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/SF-W bias","+0.050","+0.050",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/SF-U bias","+0.025","+0.025",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-W bias","+0.003","+0.003",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-U bias","+0.001","+0.001",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-W se_ratio","1.55","1.55",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-U se_ratio","1.44","1.44",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/SF-W coverage","0.954","0.954",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/SF-U coverage","0.938","0.938",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/CF-W coverage","0.974","0.974",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/CF-U coverage","0.944","0.944",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/SF-W n_reps","828","828",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/SF-W n_diverged","172","172",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/CF-W n_reps","834","834",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/CF-W n_diverged","166","166",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/standard(A)/L1/Fully-Aware-CF bias","+0.020","+0.019",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/R1(B)/L1/Fully-Aware-CF bias","+0.021","+0.021",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/standard(A)/L1/Fully-Aware-CF coverage","0.943","0.943",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/R1(B)/L1/Fully-Aware-CF coverage","0.912","0.912",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/standard(A)/L1/Fully-Aware-CF bias","-0.004","-0.004",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/R1(B)/L1/Fully-Aware-CF bias","-0.002","-0.002",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/standard(A)/L1/Fully-Aware-CF coverage","0.958","0.958",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/R1(B)/L1/Fully-Aware-CF coverage","0.954","0.954",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/standard(A)/L1/Fully-Aware bias","-0.003","-0.003",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/R1(B)/L1/Fully-Aware bias","-0.003","-0.003",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/standard(A)/L1/Fully-Aware coverage","0.952","0.952",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/R1(B)/L1/Fully-Aware coverage","0.954","0.954",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/A/L1/Fully-Aware |bias|/MCSE-of-mean ~ 2 (>=1.9,<=2.6)","about twice MCSE","2.01",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/standard(A)/L1/Non-Aware bias","+0.031","+0.031",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/R1(B)/L1/Non-Aware bias","+0.044","+0.044",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/standard(A)/L1/Non-Aware coverage","0.638","0.638",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/R1(B)/L1/Non-Aware coverage","0.459","0.459",TRUE
"manuscript.Rmd Sec5","R01 csv: complex/standard(A)/L1/Fully-Aware-CF bias -> +0.02","+0.02","+0.02",TRUE
"appendix.Rmd WebD","R04 csv: R1/L2_smooth/prod_sqrtm_vs_L1","0.92","0.92",TRUE
"appendix.Rmd WebD","R04 csv: R1/L3_adaptive/prod_sqrtm_vs_L1","0.94","0.94",TRUE
"appendix.Rmd WebD","R04 csv: R1/L4_aggressive/prod_sqrtm_vs_L1","3.46","3.46",TRUE
"appendix.Rmd WebD","R04 csv: standard/L2_smooth/prod_sqrtm_vs_L1","0.88","0.88",TRUE
"appendix.Rmd WebD","R04 csv: standard/L3_adaptive/prod_sqrtm_vs_L1","0.90","0.90",TRUE
"appendix.Rmd WebD","R04 csv: standard/L4_aggressive/prod_sqrtm_vs_L1","3.18","3.18",TRUE
"appendix.Rmd WebD","R04 csv: R1/L1/prod_sqrtm_vs_L1 (baseline)","1.00","1.00",TRUE
"appendix.Rmd WebD","R04 csv: standard/L1/prod_sqrtm_vs_L1 (baseline)","1.00","1.00",TRUE
"appendix.Rmd WebD","R04 csv: R1/L1_param/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: R1/L2_smooth/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: R1/L3_adaptive/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: R1/L4_aggressive/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: standard/L1_param/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: standard/L2_smooth/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: standard/L3_adaptive/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: standard/L4_aggressive/truth_join","OK","OK",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-unwt w_cv","0.32","0.32",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.3/L3_adaptive/CF-unwt w_cv","0.38","0.38",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.6/L3_adaptive/CF-unwt w_cv","0.55","0.55",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-unwt w_cv","0.81","0.81",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-unwt coverage","0.941","0.941",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.3/L3_adaptive/CF-unwt coverage","0.938","0.938",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.6/L3_adaptive/CF-unwt coverage","0.929","0.929",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-unwt coverage","0.929","0.929",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-unwt se_ratio","1.01","1.01",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.3/L3_adaptive/CF-unwt se_ratio","1.00","1.00",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-unwt |bias|","0.012","0.012",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-unwt |bias|","0.006","0.006",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-wt coverage","0.944","0.944",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-wt coverage","0.928","0.928",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-wt |bias|","0.010","0.010",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-wt |bias|","0.008","0.008",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L2_smooth/CF-unwt coverage","0.945","0.945",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.3/L2_smooth/CF-unwt coverage","0.943","0.943",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.6/L2_smooth/CF-unwt coverage","0.919","0.919",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L2_smooth/CF-unwt coverage","0.928","0.928",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L2_smooth/CF-unwt |bias|","0.014","0.014",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L2_smooth/CF-unwt |bias|","0.007","0.007",TRUE
"appendix.Rmd WebF-R07","R07 csv: max mcse_cov over L2/L3, both CF arms, all rho","<=0.009","0.0086",TRUE
"appendix.Rmd WebF jack","R11 csv jack: all 8 jk_lin_ratio round to 1.00","1.00","1.00",TRUE
"appendix.Rmd WebF jack","R11 csv jack: max jk_lin_ratio (R1/L3/Fully-Aware-CF)","1.004","1.004",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L1/Fully-Aware jk_lin_ratio","1.000","1.000",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L3/Fully-Aware jk_lin_ratio","1.000","1.000",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L1/Fully-Aware coverage_taylor","0.934","0.934",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L1/Fully-Aware coverage_jack","0.934","0.934",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L1/Fully-Aware coverage_taylor","0.930","0.930",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L1/Fully-Aware coverage_jack","0.930","0.930",TRUE
