"method","b","se","lcl","ucl","df"
"Fully-Aware",0.747256624331053,0.10353225919455,0.541690896710865,0.952822351951241,94
"Partially-Aware",0.747256624331053,0.114563779774488,0.522706969630622,0.971806279031484,30982
"Non-Aware",0.691577937246993,0.0822776260760588,0.530310453219161,0.852845421274824,30982
"Fully-Aware-CV",0.755440277797574,0.102916355526162,0.551097441348901,0.959783114246248,94
"Fully-Aware-CF",0.75164469696785,0.103500791524254,0.546141449144695,0.957147944791006,94
